Neighborhood;City;Latitude;Longitude
23rd & Union/Jackson;Seattle;47.6121709;-122.3026265
Admiral;Seattle;47.5811953;-122.3865457
Aurora-Licton Springs;Seattle;47.6038321;-122.3300624
Ballard;Seattle;47.6765073;-122.3862233
Beacon Hill;Seattle;47.57925785;-122.311597687327
Belltown;Seattle;47.6132311;-122.3453607
Bitter Lake/Broadview;Seattle;47.7266451;-122.352272142764
Capitol Hill;Seattle;47.6238307;-122.3183689
Chinatown-International District;Seattle;47.5991746;-122.3232294
Columbia City;Seattle;47.5579124;-122.2852162
Crown Hill;Seattle;47.6947154;-122.3714586
Delridge;Seattle;47.5521233;-122.3638741
Downtown Commercial Core;Seattle;47.6049492;-122.3332737
Eastlake;Seattle;47.6431448;-122.32617211691
First Hill;Seattle;47.6093053;-122.3249839
Fremont;Seattle;47.6504529;-122.3499861
Georgetown;Seattle;47.5489326;-122.3300573
Green Lake;Seattle;47.6801546;-122.3240935
Greenwood-Phinney Ridge;Seattle;47.6909806;-122.3548773
Judkins Park;Seattle;47.5927278;-122.301600091012
Lake City;Seattle;47.7191619;-122.2954939
Madison-Miller;Seattle;47.8900477;-122.1470466
Magnolia;Seattle;47.6489369;-122.3931153
Montlake;Seattle;47.6414082;-122.3030441
Morgan Junction;Seattle;47.6258687;-122.321648655033
North Rainier / Mount Baker;Seattle;47.54694365;-122.287130745836
Northgate;Seattle;47.7131534;-122.3212307
Othello;Seattle;47.5379894;-122.281582781848
Pioneer Square;Seattle;47.60213935;-122.333927450455
Queen Anne;Seattle;47.6394805;-122.3607453
Rainier Beach;Seattle;47.5230762;-122.270288
Roosevelt;Seattle;47.6773046;-122.313807096056
Sand Point;Seattle;47.6823594;-122.2643122
South Lake Union;Seattle;47.6231611;-122.3383816
South Park;Seattle;47.5264675;-122.3229131
University District;Seattle;47.6612984;-122.3131523
Uptown;Seattle;47.62404005;-122.358979883457
Wallingford;Seattle;47.6594631;-122.3343417
West Seattle Junction;Seattle;47.5709315;-122.3865166
Westwood Village / Roxhill-Highland Park;Seattle;47.52207665;-122.367262362724
Alcova Heights;Arlington;38.8645566;-77.0972006
Arlington Forest;Arlington;38.8688556;-77.1130838
Arlington Heights;Arlington;38.8695566;-77.0922005
