Neighborhood;City;Neighborhood Latitude;Neighborhood Longitude;Venue;Venue Latitude;Venue Longitude;Venue Category
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Uncle Ike's CD;47.6131353;-122.3016857;Alternative Healer
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Raised Doughnuts;47.61176742997856;-122.30282482485337;Donut Shop
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Central Cinema;47.61331936968602;-122.30528041937013;Indie Movie Theater
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Tacos Chukis;47.612893561766505;-122.30294455071352;Taco Place
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Squirrel Chops;47.61287989259248;-122.30336110029992;Coffee Shop
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Union Coffee;47.61288925888979;-122.30100182066299;Coffee Shop
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Chuck's Hop Shop - Central District;47.61285551371564;-122.30592401038638;Beer Store
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;The Neighbor Lady;47.61309048229276;-122.30216287864693;Bar
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Feed Co Burger;47.61284187776742;-122.30145471931597;Burger Joint
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Cortona Cafe;47.612850592474906;-122.30026667791834;Coffee Shop
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;adey abeba;47.61287630138564;-122.30360290443589;Ethiopian Restaurant
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Central District Ice Cream;47.613088181404095;-122.30552512736706;Ice Cream Shop
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Union Market;47.61290368446886;-122.30505802322662;Deli / Bodega
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Grocery Outlet;47.61251691847701;-122.29593527224242;Grocery Store
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Smash Putt;47.612053738832884;-122.30220428296671;Mini Golf
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;YMCA;47.61669944407516;-122.30202561677386;Gym
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Shodai Teriyaki;47.612231661235526;-122.29635144566902;Asian Restaurant
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Katy's Corner Cafe;47.612997875949176;-122.30616366380274;Café
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Snout & Co.;47.61283862292505;-122.30670345589579;Food Truck
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Ponder;47.612859498924955;-122.30079632565752;Marijuana Dispensary
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Unity On Union;47.613605010377974;-122.30005071370422;Bookstore
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;99 Cent Plus;47.61190033747;-122.30237104074709;Gift Shop
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;El Costeño Taco Truck;47.613155;-122.30262;Taco Place
23rd & Union/Jackson;Seattle;47.6128661;-122.3018346;Browlick;47.61265492300721;-122.30018661527815;Cosmetics Shop
