Cluster label;Neighborhoods;City;Latitude;Longitude
5;16th Street Heights;Arlington/DC;38.95031455125326;-77.03355856392005
5;23rd & Union/Jackson;Seattle;47.6128661;-122.3018346
5;Adams Morgan;Arlington/DC;38.9204721985137;-77.04239110687887
5;Admiral;Seattle;47.5811953;-122.3865457
1;Alcova Heights;Arlington/DC;38.8645566;-77.0972006
3;American University Park;Arlington/DC;38.94761163681309;-77.09024957173517
2;Arboretum;Arlington/DC;38.91485975626041;-76.97248974817899
5;Arlington Forest;Arlington/DC;38.8688556;-77.1130838
1;Arlington Heights;Arlington/DC;38.8695566;-77.0922005
2;Arlington Ridge;Arlington/DC;40.9840435;-81.4939385
2;Arlington View / Johnson's Hill;Arlington/DC;38.86307935;-77.0725928623003
5;Arverne;New York;40.58914394372971;-73.79199233136943
5;Astoria Heights;New York;40.7703173929982;-73.89467996270574
5;Astoria;New York;40.76850859335492;-73.91565374304234
5;Auburndale;New York;40.76172954903262;-73.79176243728061
9;Aurora Hills;Arlington/DC;38.8515014;-77.0641441
5;Aurora-Licton Springs;Seattle;47.6038321;-122.3300624
14;Ballard;Seattle;47.6765073;-122.3862233
5;Ballston;Arlington/DC;38.8831218;-77.1100937
5;Barcroft;Arlington/DC;38.8559457;-77.1038675
14;Barnaby Woods;Arlington/DC;38.9754334348612;-77.06017447830173
5;Barry Farm;Arlington/DC;38.859255263491534;-76.99728050562214
5;Battery Park City;New York;40.71193198394565;-74.01686930508617
5;Bay Terrace;New York;40.782842806245554;-73.7768022262158
5;Bayside;New York;40.76604063281064;-73.7742736306867
14;Bayswater;New York;40.611321691283834;-73.76596781445627
5;Beacon Hill;Seattle;47.57925785;-122.311597687327
5;Beechhurst;New York;40.79278140360048;-73.80436451720988
5;Bellaire;New York;40.73301404027834;-73.73889198912481
5;Belle Harbor;New York;40.57615556543109;-73.8540175039252
5;Bellerose;New York;40.72857318176675;-73.72012814826903
14;Bellevue Forest;Arlington/DC;38.9142781;-77.1135898
5;Bellevue;Arlington/DC;38.82695244796175;-77.00927075597909
5;Belltown;Seattle;47.6132311;-122.3453607
1;Benning Ridge;Arlington/DC;38.88116150367999;-76.9382027137017
1;Benning;Arlington/DC;38.8918848983153;-76.9488836259651
5;Bitter Lake/Broadview;Seattle;47.7266451;-122.352272142764
